Income ,cigtax,edu_fa,edu_mo,birthorder,male,white,cig_p,bwghtlbs,lfaminc,,,,
27.5,15,12,12,2,1,1,0,6.0625,3.314186,,,,
17.5,15,14,16,1,0,0,0,7.625,2.862201,,,,
65,15,16,13,3,1,1,0,7.375,4.174387,,,,
3.5,15,11,12,2,1,0,0,8.75,1.252763,,,,
0.5,15,12,12,2,0,0,0,8.1875,-0.6931472,,,,
0.5,15,0,12,2,0,0,10,6.5,-0.6931472,,,,
3.5,15,0,11,3,0,1,0,7.125,1.252763,,,,
65,15,12,13,1,0,1,0,8.8125,4.174387,,,,
22.5,15,11,12,2,0,1,0,6.6875,3.113515,,,,
22.5,21,12,10,1,1,1,0,9.5,3.113515,,,,
7.5,21,12,10,2,1,0,20,7.4375,2.014903,,,,
27.5,21,12,12,1,0,1,0,8.4375,3.314186,,,,
18.5,21,12,10,1,0,1,0,8.625,2.917771,,,,
37.5,21,16,16,1,1,1,0,6.75,3.624341,,,,
22.5,21,7,12,1,0,1,0,6.0625,3.113515,,,,
27.5,21,13,12,3,1,1,0,8.1875,3.314186,,,,
18.5,21,3,12,1,0,0,40,7.1875,2.917771,,,,
22.5,21,16,14,3,1,0,0,7.6875,3.113515,,,,
0.5,21,0,10,5,0,0,0,7.1875,-0.6931472,,,,
32.5,21,18,16,1,0,1,0,8.25,3.48124,,,,
27.5,21,14,13,1,1,0,0,8.3125,3.314186,,,,
32.5,21,13,12,1,0,1,0,7.8125,3.48124,,,,
15.5,21,12,12,1,1,1,0,7.3125,2.74084,,,,
16.5,21,16,13,1,1,1,0,7.25,2.80336,,,,
19.5,21,18,18,2,1,1,0,9.5,2.970414,,,,
15.5,21,10,10,1,0,0,0,6.3125,2.74084,,,,
14.5,21,17,12,1,1,1,0,6.6875,2.674149,,,,
32.5,21,16,14,4,0,1,0,8.5,3.48124,,,,
14.5,21,7,9,2,0,1,0,7.5,2.674149,,,,
8.5,21,17,18,1,1,1,0,7.9375,2.140066,,,,
8.5,21,0,8,3,1,1,0,7.6875,2.140066,,,,
7.5,21,14,12,3,1,1,0,8.4375,2.014903,,,,
32.5,21,14,15,1,1,0,0,5.375,3.48124,,,,
65,21,16,16,1,1,1,0,6.0625,4.174387,,,,
7.5,21,14,12,1,1,0,10,5.8125,2.014903,,,,
27.5,21,18,12,1,0,0,0,6,3.314186,,,,
13.5,21,8,8,2,0,1,10,6.8125,2.60269,,,,
27.5,21,12,11,1,1,0,0,7.3125,3.314186,,,,
18.5,21,9,12,1,0,1,0,7.1875,2.917771,,,,
22.5,10,11,12,1,1,1,20,7.5625,3.113515,,,,
65,10,18,17,2,0,1,0,7.125,4.174387,,,,
22.5,10,12,6,1,0,1,0,7.375,3.113515,,,,
42.5,10,16,16,1,0,1,0,8.375,3.749504,,,,
37.5,10,18,15,1,1,1,0,9.75,3.624341,,,,
11.5,10,12,12,2,0,1,3,8.6875,2.442347,,,,
65,10,18,18,2,1,1,0,8.5,4.174387,,,,
7.5,10,8,11,1,1,0,0,7.1875,2.014903,,,,
22.5,10,12,12,1,1,0,0,1.4375,3.113515,,,,
65,10,13,12,1,0,1,0,8.4375,4.174387,,,,
27.5,10,12,13,1,1,0,10,6.625,3.314186,,,,
7.5,10,0,10,2,1,0,0,7.25,2.014903,,,,
65,10,13,16,1,1,1,0,9.1875,4.174387,,,,
8.5,10,0,10,3,0,1,0,7.1875,2.140066,,,,
12.5,10,12,12,3,0,1,0,5.3125,2.525729,,,,
37.5,10,12,17,1,1,1,0,6.375,3.624341,,,,
14.5,10,11,12,1,0,1,0,7.625,2.674149,,,,
65,10,17,16,1,1,0,0,6.8125,4.174387,,,,
37.5,10,11,11,2,0,1,20,6.0625,3.624341,,,,
27.5,10,13,17,2,0,1,0,8.5,3.314186,,,,
65,10,18,12,1,0,1,0,8.1875,4.174387,,,,
32.5,10,14,12,1,1,1,0,7.25,3.48124,,,,
6.5,10,0,12,1,1,1,0,5.375,1.871802,,,,
65,10,13,16,2,1,1,0,9.6875,4.174387,,,,
6.5,10,0,10,1,1,1,40,7.625,1.871802,,,,
65,10,18,16,1,0,1,0,6.5625,4.174387,,,,
65,10,16,16,1,1,1,0,8.1875,4.174387,,,,
7.5,10,0,11,3,0,0,0,7.875,2.014903,,,,
17.5,10,8,10,1,1,1,0,7.9375,2.862201,,,,
27.5,10,18,18,1,1,1,0,7.8125,3.314186,,,,
37.5,10,17,16,1,1,0,0,6.125,3.624341,,,,
22.5,10,12,13,4,0,0,0,9,3.113515,,,,
22.5,10,12,13,1,0,0,0,5.6875,3.113515,,,,
65,10,13,16,1,0,1,0,6.625,4.174387,,,,
42.5,10,12,12,2,1,1,0,8,3.749504,,,,
2.5,10,11,12,1,1,1,0,9,0.9162908,,,,
10.5,10,0,10,4,0,0,0,5.6875,2.351375,,,,
42.5,10,16,12,2,1,1,0,7.625,3.749504,,,,
14.5,10,10,12,1,0,1,0,8.6875,2.674149,,,,
42.5,10,10,12,1,0,1,0,7.875,3.749504,,,,
32.5,10,18,18,1,1,1,0,6.6875,3.48124,,,,
3.5,10,0,12,3,1,1,0,4.9375,1.252763,,,,
42.5,10,15,12,1,1,1,0,6.375,3.749504,,,,
15.5,10,12,16,1,1,1,0,7.875,2.74084,,,,
32.5,10,12,12,1,0,0,0,7.5,3.48124,,,,
19.5,10,12,12,1,1,0,0,6.3125,2.970414,,,,
42.5,10,12,12,5,1,1,0,8.1875,3.749504,,,,
65,10,12,14,2,0,1,0,8,4.174387,,,,
13.5,10,13,12,1,1,0,0,8.875,2.60269,,,,
27.5,10,12,12,1,1,1,0,9,3.314186,,,,
42.5,10,16,15,3,0,1,0,3.625,3.749504,,,,
5.5,10,0,12,1,1,0,0,5.5,1.704748,,,,
5.5,10,0,12,1,0,0,0,7.6875,1.704748,,,,
65,10,16,13,2,0,1,0,9.125,4.174387,,,,
22.5,10,9,13,1,1,0,0,8.4375,3.113515,,,,
18.5,10,12,12,1,0,1,0,7.8125,2.917771,,,,
27.5,10,0,12,1,0,0,0,7.8125,3.314186,,,,
65,10,18,16,1,1,0,0,6.1875,4.174387,,,,
32.5,10,12,12,1,1,1,4,7.5,3.48124,,,,
22.5,10,5,7,2,0,0,0,7.125,3.113515,,,,
37.5,10,12,12,1,0,1,0,5.5,3.624341,,,,
65,10,18,15,1,1,1,0,6.625,4.174387,,,,
1.5,10,0,13,2,0,0,0,7.6875,0.4054651,,,,
27.5,10,11,13,2,1,1,0,8.4375,3.314186,,,,
47.5,10,16,12,2,1,1,0,7.25,3.86073,,,,
32.5,10,14,13,3,1,1,0,8,3.48124,,,,
65,10,16,15,1,0,0,0,6.9375,4.174387,,,,
8.5,10,0,14,1,0,1,0,7.6875,2.140066,,,,
65,10,15,17,3,1,1,0,7.1875,4.174387,,,,
27.5,10,12,12,2,1,1,0,10.4375,3.314186,,,,
37.5,10,0,12,2,0,0,0,5.125,3.624341,,,,
37.5,10,18,16,2,1,1,0,7.5625,3.624341,,,,
22.5,10,11,6,1,1,1,0,7.125,3.113515,,,,
37.5,10,13,15,1,1,1,0,7.25,3.624341,,,,
8.5,10,0,12,2,1,1,5,8.8125,2.140066,,,,
42.5,10,13,12,2,1,1,0,8.8125,3.749504,,,,
65,10,16,16,2,0,1,0,7.5,4.174387,,,,
12.5,10,12,13,1,0,1,0,6.875,2.525729,,,,
27.5,10,13,14,1,0,1,0,7.5,3.314186,,,,
27.5,10,14,18,2,1,1,0,7.8125,3.314186,,,,
65,10,15,11,2,0,0,0,5.125,4.174387,,,,
22.5,10,12,12,1,0,1,0,8.8125,3.113515,,,,
18.5,10,7,8,2,1,1,0,9,2.917771,,,,
13.5,10,12,12,2,0,1,0,6.375,2.60269,,,,
18.5,10,12,10,1,1,1,0,7.5625,2.917771,,,,
27.5,10,14,12,1,0,0,0,5,3.314186,,,,
22.5,10,12,12,2,0,1,0,6.625,3.113515,,,,
65,10,15,12,1,0,1,0,7.25,4.174387,,,,
32.5,10,12,12,1,0,1,10,7.25,3.48124,,,,
22.5,10,13,13,2,1,1,0,7.6875,3.113515,,,,
37.5,10,12,15,1,0,1,0,8.25,3.624341,,,,
47.5,10,11,10,2,1,1,20,7.375,3.86073,,,,
65,10,18,17,2,1,1,0,8.1875,4.174387,,,,
32.5,10,18,14,1,1,0,0,9.5,3.48124,,,,
10.5,10,4,12,3,1,1,0,7.5,2.351375,,,,
22.5,10,12,12,1,0,1,0,9.0625,3.113515,,,,
37.5,10,14,16,1,1,0,0,7.75,3.624341,,,,
65,10,18,9,1,1,1,0,8.875,4.174387,,,,
65,10,16,18,2,0,1,0,7.3125,4.174387,,,,
10.5,10,12,7,1,0,1,0,6.25,2.351375,,,,
32.5,10,16,13,1,1,1,0,7.5,3.48124,,,,
32.5,10,16,13,1,1,1,0,9.0625,3.48124,,,,
65,10,18,16,1,1,1,0,7.6875,4.174387,,,,
47.5,10,17,14,2,1,1,0,10.375,3.86073,,,,
32.5,10,13,14,2,0,1,8,6.4375,3.48124,,,,
6.5,10,0,10,2,1,1,0,8.3125,1.871802,,,,
12.5,10,5,7,2,0,0,0,7,2.525729,,,,
47.5,10,14,11,1,1,1,0,7.4375,3.86073,,,,
19.5,10,12,12,1,1,1,0,7.6875,2.970414,,,,
7.5,10,7,0,1,0,1,0,6.6875,2.014903,,,,
8.5,10,8,9,3,1,1,0,9.0625,2.140066,,,,
19.5,10,0,14,1,0,1,0,8.3125,2.970414,,,,
65,10,16,13,4,1,1,0,9.125,4.174387,,,,
32.5,10,12,14,1,0,1,0,8.375,3.48124,,,,
65,10,14,14,1,1,1,0,8.75,4.174387,,,,
19.5,10,10,12,3,0,0,0,5.9375,2.970414,,,,
17.5,10,13,13,2,0,0,0,7.875,2.862201,,,,
27.5,10,12,15,1,0,1,0,8.375,3.314186,,,,
12.5,10,6,7,1,1,1,0,4,2.525729,,,,
27.5,10,0,15,1,0,1,4,7.4375,3.314186,,,,
32.5,10,13,16,2,1,1,0,8.75,3.48124,,,,
22.5,10,6,6,3,0,1,0,7.5,3.113515,,,,
18.5,10,13,14,2,0,1,0,6.4375,2.917771,,,,
32.5,10,12,12,2,1,1,20,4.25,3.48124,,,,
42.5,10,14,12,1,0,0,0,6.0625,3.749504,,,,
37.5,10,12,12,2,0,1,0,7.5,3.624341,,,,
32.5,10,15,14,1,0,1,0,7.5625,3.48124,,,,
9.5,10,0,8,2,1,1,0,8.125,2.251292,,,,
15.5,10,12,12,1,0,1,10,7.1875,2.74084,,,,
65,10,16,18,2,1,0,0,7,4.174387,,,,
65,10,12,12,1,1,1,0,7.5,4.174387,,,,
22.5,10,13,13,3,0,1,12,6.4375,3.113515,,,,
32.5,10,12,12,1,0,1,0,6.25,3.48124,,,,
65,10,13,16,1,0,1,0,7.3125,4.174387,,,,
65,10,18,18,1,0,1,0,7.875,4.174387,,,,
5.5,10,0,13,2,1,1,0,8.875,1.704748,,,,
22.5,10,12,13,1,1,0,0,7.5,3.113515,,,,
13.5,10,3,4,5,1,0,0,6.9375,2.60269,,,,
65,10,12,12,2,1,1,0,9.5,4.174387,,,,
65,10,18,17,1,0,1,0,7.75,4.174387,,,,
27.5,10,13,12,2,1,1,0,9.125,3.314186,,,,
27.5,10,15,16,1,1,1,0,6.375,3.314186,,,,
27.5,10,12,6,2,1,1,0,8.0625,3.314186,,,,
10.5,10,12,12,3,1,1,0,7.8125,2.351375,,,,
9.5,10,16,14,3,0,0,0,7.875,2.251292,,,,
0.5,10,0,3,1,0,1,0,6.3125,-0.6931472,,,,
32.5,10,16,12,2,1,1,0,7.0625,3.48124,,,,
19.5,10,12,12,3,0,0,0,8.5,2.970414,,,,
42.5,10,5,9,4,0,1,0,6.3125,3.749504,,,,
65,10,18,18,1,1,1,0,6.625,4.174387,,,,
65,10,16,18,2,0,1,0,6.25,4.174387,,,,
42.5,10,15,14,1,0,1,0,8.125,3.749504,,,,
37.5,10,17,12,3,0,0,0,8.5,3.624341,,,,
6.5,10,0,10,2,1,0,0,6.25,1.871802,,,,
65,10,16,16,1,0,1,0,7.625,4.174387,,,,
1.5,10,0,11,1,0,0,0,5.625,0.4054651,,,,
65,20,13,12,1,0,1,0,5.875,4.174387,,,,
32.5,20,9,13,1,1,1,0,6.75,3.48124,,,,
65,20,18,18,2,1,1,0,6.6875,4.174387,,,,
17.5,20,13,12,4,1,1,20,7.4375,2.862201,,,,
18.5,20,12,12,1,0,1,0,6.625,2.917771,,,,
13.5,20,12,12,2,1,1,0,7.0625,2.60269,,,,
10.5,20,12,12,1,1,1,0,8.25,2.351375,,,,
18.5,20,13,9,3,0,0,0,6.1875,2.917771,,,,
13.5,20,11,11,3,0,1,10,6.875,2.60269,,,,
32.5,20,13,18,1,0,1,10,4.75,3.48124,,,,
15.5,20,13,12,1,1,1,0,7.6875,2.74084,,,,
10.5,20,12,12,1,1,1,0,7.6875,2.351375,,,,
32.5,20,15,12,1,1,1,0,8.0625,3.48124,,,,
13.5,20,0,11,3,1,0,0,5.9375,2.60269,,,,
16.5,20,0,13,2,1,1,0,7.375,2.80336,,,,
6.5,20,12,12,3,0,0,20,7.1875,1.871802,,,,
8.5,20,0,11,1,1,1,0,8.3125,2.140066,,,,
22.5,20,12,13,1,1,1,0,8.6875,3.113515,,,,
27.5,20,16,18,2,1,1,0,7.75,3.314186,,,,
12.5,26,0,10,1,1,1,20,3.75,2.525729,,,,
19.5,26,14,12,1,0,1,0,5.4375,2.970414,,,,
65,26,18,16,1,1,1,0,8.125,4.174387,,,,
65,26,13,16,1,1,1,0,6.875,4.174387,,,,
15.5,26,15,12,1,0,0,0,4.5625,2.74084,,,,
37.5,26,14,11,1,1,1,0,7.875,3.624341,,,,
47.5,26,12,13,1,1,1,0,7.8125,3.86073,,,,
47.5,26,10,13,2,0,1,0,10.375,3.86073,,,,
37.5,26,13,13,1,0,1,0,7.625,3.624341,,,,
32.5,26,12,12,2,1,0,4,7.5,3.48124,,,,
65,26,17,16,2,0,1,0,8.9375,4.174387,,,,
27.5,26,14,12,2,1,1,0,7.625,3.314186,,,,
65,26,18,16,2,1,1,0,6.625,4.174387,,,,
65,26,18,18,2,0,1,0,7.875,4.174387,,,,
32.5,26,16,14,1,0,1,0,9.75,3.48124,,,,
22.5,26,0,8,1,1,1,0,8.0625,3.113515,,,,
17.5,26,8,6,3,0,0,0,7.5,2.862201,,,,
32.5,14,12,12,1,1,1,1,7.0625,3.48124,,,,
65,14,17,15,2,0,1,0,5.0625,4.174387,,,,
37.5,14,16,14,1,0,1,0,5.1875,3.624341,,,,
37.5,17,0,12,1,0,0,0,8.0625,3.624341,,,,
14.5,17,12,12,2,1,0,0,8.3125,2.674149,,,,
18.5,24,16,16,2,0,1,20,7,2.917771,,,,
65,24,14,13,1,1,1,0,7.4375,4.174387,,,,
47.5,24,16,12,1,0,1,0,8.6875,3.86073,,,,
27.5,24,12,14,1,0,1,0,6.9375,3.314186,,,,
27.5,24,13,12,4,0,1,40,5.0625,3.314186,,,,
27.5,24,16,12,2,0,1,0,7.9375,3.314186,,,,
22.5,24,10,11,1,0,1,0,7.4375,3.113515,,,,
32.5,24,15,12,3,0,0,0,6.6875,3.48124,,,,
3.5,24,0,10,2,0,0,20,6.125,1.252763,,,,
18.5,24,14,13,1,0,1,10,7.0625,2.917771,,,,
19.5,24,16,16,1,1,0,0,6.5,2.970414,,,,
32.5,24,11,12,2,0,1,0,6.75,3.48124,,,,
22.5,24,12,12,1,1,1,0,9,3.113515,,,,
65,24,16,14,3,1,1,0,6.875,4.174387,,,,
65,24,16,13,1,0,1,0,8.625,4.174387,,,,
14.5,24,12,10,1,0,0,0,6.6875,2.674149,,,,
65,24,13,13,1,0,1,0,8,4.174387,,,,
14.5,24,14,12,1,1,1,10,9,2.674149,,,,
37.5,24,16,16,2,1,0,0,8.5,3.624341,,,,
13.5,24,0,14,1,1,1,0,6.875,2.60269,,,,
4.5,24,0,10,1,1,1,20,6.5625,1.504077,,,,
22.5,24,12,12,3,0,1,0,7.75,3.113515,,,,
37.5,24,17,16,1,1,1,0,7.3125,3.624341,,,,
65,24,12,12,1,1,1,0,9.0625,4.174387,,,,
11.5,24,0,12,5,1,0,0,6,2.442347,,,,
22.5,24,12,14,1,0,1,0,8.75,3.113515,,,,
65,24,14,16,1,1,1,0,6.3125,4.174387,,,,
37.5,24,16,12,3,1,1,0,9.25,3.624341,,,,
10.5,24,12,14,3,1,0,0,8.4375,2.351375,,,,
37.5,24,16,14,1,0,1,0,7.5,3.624341,,,,
22.5,24,12,12,2,0,1,0,8.125,3.113515,,,,
15.5,24,12,12,1,1,0,0,8.375,2.74084,,,,
65,24,16,15,1,1,1,0,8,4.174387,,,,
0.5,24,11,10,1,1,1,15,6.9375,-0.6931472,,,,
32.5,12,10,12,3,0,0,0,8,3.48124,,,,
10.5,12,10,12,1,1,1,0,8.375,2.351375,,,,
22.5,12,12,12,2,1,1,0,8.8125,3.113515,,,,
47.5,12,14,12,1,0,1,0,7.1875,3.86073,,,,
27.5,12,12,12,2,1,1,0,6.125,3.314186,,,,
65,12,17,16,1,0,1,0,7.375,4.174387,,,,
47.5,12,16,18,1,0,0,0,8.125,3.86073,,,,
4.5,12,0,12,2,1,0,0,8.5,1.504077,,,,
8.5,12,0,12,1,1,0,0,8.0625,2.140066,,,,
47.5,12,12,17,1,1,1,0,5.8125,3.86073,,,,
12.5,12,11,11,1,1,1,20,5.6875,2.525729,,,,
65,12,12,14,2,0,1,0,6.875,4.174387,,,,
9.5,12,0,10,1,0,1,0,7,2.251292,,,,
37.5,12,14,12,3,1,1,20,7,3.624341,,,,
27.5,12,12,12,2,0,1,12,6.125,3.314186,,,,
65,12,14,14,2,0,1,0,9.1875,4.174387,,,,
7.5,12,11,9,4,0,0,8,5.75,2.014903,,,,
65,33,14,12,1,0,0,0,6.125,4.174387,,,,
47.5,33,12,13,2,0,0,0,6.125,3.86073,,,,
65,18,16,16,1,0,1,0,8.5625,4.174387,,,,
42.5,18,15,16,1,1,1,0,7.0625,3.749504,,,,
27.5,18,11,12,1,1,1,0,8.5625,3.314186,,,,
37.5,18,12,12,2,0,1,15,4.4375,3.624341,,,,
47.5,18,16,16,1,0,1,0,8.0625,3.86073,,,,
2.5,18,0,9,3,0,0,10,9.3125,0.9162908,,,,
7.5,18,0,12,1,0,1,0,7.75,2.014903,,,,
6.5,18,0,12,1,0,1,0,8.625,1.871802,,,,
37.5,18,13,12,1,1,1,0,8,3.624341,,,,
32.5,18,12,12,1,0,1,10,7.625,3.48124,,,,
47.5,20,4,5,2,0,1,0,7.375,3.86073,,,,
42.5,20,12,12,2,0,1,0,8,3.749504,,,,
9.5,20,0,8,3,0,0,20,8.875,2.251292,,,,
47.5,20,18,17,1,1,1,0,7.9375,3.86073,,,,
65,20,18,18,2,1,1,0,7,4.174387,,,,
22.5,20,14,14,1,1,0,0,7.0625,3.113515,,,,
42.5,20,14,14,1,0,1,0,7,3.749504,,,,
37.5,20,14,14,2,0,1,0,5.125,3.624341,,,,
19.5,20,12,12,1,0,1,0,8.8125,2.970414,,,,
42.5,20,16,15,3,1,1,0,6.6875,3.749504,,,,
14.5,20,12,12,1,0,1,0,7.3125,2.674149,,,,
37.5,20,16,16,1,1,1,0,7.9375,3.624341,,,,
7.5,20,18,13,1,1,0,0,8.3125,2.014903,,,,
37.5,20,18,18,1,1,0,0,7.375,3.624341,,,,
32.5,20,14,12,1,0,1,0,9,3.48124,,,,
9.5,20,11,11,1,0,1,0,6.8125,2.251292,,,,
65,20,14,13,3,1,1,0,4.9375,4.174387,,,,
32.5,20,16,13,1,1,1,0,7.75,3.48124,,,,
5.5,20,12,9,1,0,1,10,8.125,1.704748,,,,
42.5,20,14,14,1,0,1,0,16.9375,3.749504,,,,
22.5,20,12,13,2,1,0,0,10,3.113515,,,,
42.5,20,14,17,1,1,1,0,7.9375,3.749504,,,,
7.5,20,11,11,1,1,0,0,6.75,2.014903,,,,
13.5,20,0,16,1,0,0,0,5.625,2.60269,,,,
27.5,20,11,12,2,1,1,0,8.75,3.314186,,,,
42.5,20,17,13,1,0,1,0,7.875,3.749504,,,,
32.5,20,12,12,2,1,1,0,6.875,3.48124,,,,
32.5,20,17,12,1,1,1,0,7.9375,3.48124,,,,
5.5,20,0,12,2,1,0,0,6.3125,1.704748,,,,
47.5,20,18,16,3,0,1,0,5.75,3.86073,,,,
47.5,20,8,13,1,1,1,0,7.5625,3.86073,,,,
42.5,20,18,16,1,1,1,0,6.375,3.749504,,,,
37.5,20,8,10,1,1,1,0,7.8125,3.624341,,,,
32.5,20,14,15,1,1,1,0,8.8125,3.48124,,,,
65,20,11,12,1,0,1,0,7.5625,4.174387,,,,
47.5,20,16,16,1,1,1,0,7.9375,3.86073,,,,
42.5,20,13,14,1,1,1,0,7.4375,3.749504,,,,
27.5,20,12,12,1,0,1,0,6.625,3.314186,,,,
17.5,20,12,12,1,0,0,0,6.5625,2.862201,,,,
18.5,20,6,11,1,0,0,0,6.5,2.917771,,,,
42.5,20,17,15,1,1,1,0,8.1875,3.749504,,,,
37.5,20,10,12,1,1,1,0,6,3.624341,,,,
42.5,20,16,14,1,0,1,0,8.8125,3.749504,,,,
32.5,20,9,11,1,0,1,0,5.8125,3.48124,,,,
2.5,20,0,12,1,0,0,0,7.125,0.9162908,,,,
18.5,20,12,12,1,1,1,0,7,2.917771,,,,
4.5,20,10,12,2,1,1,0,8.625,1.504077,,,,
22.5,20,14,14,2,1,1,0,8.5,3.113515,,,,
4.5,20,0,12,3,0,1,20,7.0625,1.504077,,,,
27.5,20,16,12,1,1,1,0,6.5625,3.314186,,,,
19.5,20,12,12,2,1,1,0,7.5,2.970414,,,,
27.5,15.5,16,16,1,0,1,0,2.1875,3.314186,,,,
19.5,15.5,12,12,3,0,1,0,9.3125,2.970414,,,,
18.5,15.5,15,13,1,1,1,0,7.625,2.917771,,,,
22.5,15.5,13,15,1,1,1,0,9.125,3.113515,,,,
22.5,15.5,12,12,1,1,1,0,10.0625,3.113515,,,,
1.5,15.5,0,12,3,1,1,20,8.875,0.4054651,,,,
4.5,15.5,12,12,2,1,1,0,7.4375,1.504077,,,,
3.5,15.5,0,12,2,0,0,4,5.1875,1.252763,,,,
3.5,15.5,0,14,1,1,0,0,8.5,1.252763,,,,
42.5,15.5,12,13,1,0,1,0,7.25,3.749504,,,,
37.5,15.5,12,12,1,0,1,0,5.8125,3.624341,,,,
22.5,15.5,12,12,1,0,1,0,6.875,3.113515,,,,
37.5,15.5,16,17,2,0,1,0,7.75,3.624341,,,,
15.5,15.5,9,12,2,1,0,0,7.6875,2.74084,,,,
27.5,15.5,12,12,2,0,1,0,8.0625,3.314186,,,,
32.5,15.5,12,12,1,0,1,0,6.625,3.48124,,,,
22.5,15.5,12,12,1,1,1,0,8.125,3.113515,,,,
27.5,15.5,12,12,1,1,1,0,6.9375,3.314186,,,,
27.5,15.5,12,12,3,1,1,0,7.1875,3.314186,,,,
4.5,15.5,0,12,1,1,0,0,6.875,1.504077,,,,
27.5,15.5,18,16,2,0,1,0,7.3125,3.314186,,,,
22.5,34,12,14,1,0,1,0,7.0625,3.113515,,,,
27.5,34,14,13,1,1,1,0,7.125,3.314186,,,,
19.5,34,14,13,1,1,1,0,9.125,2.970414,,,,
4.5,34,0,12,2,1,1,20,6.125,1.504077,,,,
11.5,34,10,10,3,1,1,10,8.9375,2.442347,,,,
27.5,34,18,17,1,1,1,0,7.25,3.314186,,,,
37.5,34,13,14,1,1,1,30,7.25,3.624341,,,,
6.5,34,16,13,2,0,1,0,4.6875,1.871802,,,,
32.5,34,13,13,1,0,1,0,8.6875,3.48124,,,,
18.5,34,14,14,1,1,1,0,7.5,2.917771,,,,
32.5,34,15,16,1,0,1,0,9.125,3.48124,,,,
42.5,34,12,12,1,0,1,0,9.0625,3.749504,,,,
22.5,34,12,13,3,1,1,0,8.5,3.113515,,,,
16.5,34,12,12,1,0,1,0,7.5,2.80336,,,,
42.5,24,16,16,1,1,1,0,6.625,3.749504,,,,
